"","id","sex","age","age_sex","n_obs_positive","n_microtus_positive","total_pos_voles","hum_reactivity","total_interactions","initiation_af","initiation_ag","win_rate","agon_PCA","n_vole_burrows","n_trap_days","n_days_obs","n_feces","n_mammals_DNA","n_vole_obs","total_carnivory"
"1","AG","F","A","A_F",2,2,4,0,9,0.5,1,0.666666666666667,1.58416159262381,2.00678194552836,6,2,2,2,2,4
"2","AM","F","A","A_F",0,0,0,0.0666666666666667,5,1,0,0,-0.951729812201686,-3.05458169083528,9,2,3,0,0,0
"3","Amazon","F","A","A_F",1,1,2,0.25,85,0.185714285714286,0.133333333333333,0.2,-0.431416604968753,-0.332572121457287,8,13,2,1,1,2
"4","aries","F","A","A_F",5,0,5,0.181818181818182,107,0.391891891891892,0.393939393939394,0.181818181818182,-0.0852472732749388,4.99079448471331,11,15,3,0,5,5
"5","asterisk","F","A","A_F",1,0,1,0,93,0.5,0.533333333333333,0.533333333333333,0.692256568915168,5.57269103643745,6,15,2,0,1,1
"6","backwards_C","M","A","A_M",4,2,6,0.125,1,0,1,1,2.13074465239241,-2.01480896356255,7,1,3,2,4,6
"7","barnacle","M","A","A_M",1,0,1,0,74,0.574468085106383,0.740740740740741,0.518518518518518,0.967195899503765,-0.0232273309094893,9,10,3,0,1,1
"8","bathtub","M","A","A_M",0,0,0,0.6,4,0,1,1,2.13074465239241,2.73935770310412,5,3,2,1,0,1
"9","battery","F","A","A_F",2,0,2,0.444444444444444,54,0.541666666666667,0.833333333333333,0.166666666666667,0.523832788756194,-1.08330896356255,8,9,3,1,2,3
"10","bobby_pin","F","A","A_F",0,0,0,0,79,0.693333333333333,0.25,0.25,-0.181111196053161,0.16360012734654,3,3,0,0,0,0
"11","boomerang","M","A","A_M",0,1,1,0.125,25,0.636363636363636,1,0.928571428571429,2.01361971101343,0.225916842889062,7,6,2,1,0,1
"12","bowtie","M","A","A_M",7,0,7,0,63,0.711111111111111,0.555555555555556,0.222222222222222,0.214172941693101,1.74178194552836,1,8,0,0,7,7
"13","bucket","F","A","A_F",2,0,2,0.333333333333333,68,0.666666666666667,0.545454545454545,0.363636363636364,0.431483681339495,-0.113749641528652,3,9,0,0,2,2
"14","butch","M","A","A_M",0,0,0,1,20,0.733333333333333,1,0.8,1.80279481653125,-2.74730896356255,2,5,0,0,0,0
"15","California","M","A","A_M",1,0,1,0,4,1,0,0,-0.951729812201686,-3.64159467784827,7,2,1,1,1,2
"16","candy_corn","F","P","P_F",0,0,0,0.333333333333333,81,0.166666666666667,0.222222222222222,0,-0.631124193248732,-0.54480896356255,6,6,2,1,0,1
"17","Capital_K","M","P","P_M",5,1,6,0.1,86,0.645569620253165,0.571428571428571,0,-0.127315363465518,-1.67828935571941,7,10,2,2,5,7
"18","Capital_M","F","P","P_F",0,1,1,0.117647058823529,55,0.436363636363636,0,0,-0.951729812201686,-2.27939229689588,9,7,4,1,0,1
"19","Capital_U","F","P","P_F",0,0,0,0.3,10,0.7,0,0,-0.951729812201686,-2.81730896356255,7,2,2,0,0,0
"20","Capital_Z","F","P","P_F",6,0,6,0.5,99,0.425287356321839,0,0,-0.951729812201686,1.00717379505814,3,9,1,0,6,6
